# X,Y,Penetration Depth,Frames to Capture
7.00,4.50,3.00,30.00
7.50,4.50,3.00,30.00
8.00,4.50,3.00,30.00
8.50,4.50,3.00,30.00
9.00,4.50,3.00,30.00
9.50,4.50,3.00,30.00
10.00,4.50,3.00,30.00
10.50,4.50,3.00,30.00
11.00,4.50,3.00,30.00
11.50,4.50,3.00,30.00
12.00,4.50,3.00,30.00
12.50,4.50,3.00,30.00
13.00,4.50,3.00,30.00
13.50,4.50,3.00,30.00
14.00,4.50,3.00,30.00
14.50,4.50,3.00,30.00
15.00,4.50,3.00,30.00
15.50,4.50,3.00,30.00
16.00,4.50,3.00,30.00
16.50,4.50,3.00,30.00
17.00,4.50,3.00,30.00
17.50,4.50,3.00,30.00
18.00,4.50,3.00,30.00
18.50,4.50,3.00,30.00
19.00,4.50,3.00,30.00
0.00,5.00,3.00,30.00
0.50,5.00,3.00,30.00
1.00,5.00,3.00,30.00
1.50,5.00,3.00,30.00
2.00,5.00,3.00,30.00
2.50,5.00,3.00,30.00
3.00,5.00,3.00,30.00
3.50,5.00,3.00,30.00
4.00,5.00,3.00,30.00
4.50,5.00,3.00,30.00
5.00,5.00,3.00,30.00
5.50,5.00,3.00,30.00
6.00,5.00,3.00,30.00
6.50,5.00,3.00,30.00
7.00,5.00,3.00,30.00
7.50,5.00,3.00,30.00
8.00,5.00,3.00,30.00
8.50,5.00,3.00,30.00
9.00,5.00,3.00,30.00
9.50,5.00,3.00,30.00
10.00,5.00,3.00,30.00
10.50,5.00,3.00,30.00
11.00,5.00,3.00,30.00
11.50,5.00,3.00,30.00
12.00,5.00,3.00,30.00
12.50,5.00,3.00,30.00
13.00,5.00,3.00,30.00
13.50,5.00,3.00,30.00
14.00,5.00,3.00,30.00
14.50,5.00,3.00,30.00
15.00,5.00,3.00,30.00
15.50,5.00,3.00,30.00
16.00,5.00,3.00,30.00
16.50,5.00,3.00,30.00
17.00,5.00,3.00,30.00
17.50,5.00,3.00,30.00
18.00,5.00,3.00,30.00
18.50,5.00,3.00,30.00
19.00,5.00,3.00,30.00
0.00,5.50,3.00,30.00
0.50,5.50,3.00,30.00
1.00,5.50,3.00,30.00
1.50,5.50,3.00,30.00
2.00,5.50,3.00,30.00
2.50,5.50,3.00,30.00
3.00,5.50,3.00,30.00
3.50,5.50,3.00,30.00
4.00,5.50,3.00,30.00
4.50,5.50,3.00,30.00
5.00,5.50,3.00,30.00
5.50,5.50,3.00,30.00
6.00,5.50,3.00,30.00
6.50,5.50,3.00,30.00
7.00,5.50,3.00,30.00
7.50,5.50,3.00,30.00
